"Species_label","Fermented foods1","normalized_prop","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"spp_1",16,0.139130434782609,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter",NA
"spp_10",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Companilactobacillus",NA
"spp_11",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Schleiferilactobacillus",NA
"spp_12",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus",NA
"spp_13",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactiplantibacillus",NA
"spp_14",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Loigolactobacillus",NA
"spp_15",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Paucilactobacillus",NA
"spp_16",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",NA
"spp_17",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Fructilactobacillus",NA
"spp_18",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Acetilactobacillus",NA
"spp_19",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Secundilactobacillus",NA
"spp_2",16,0.139130434782609,"Pseudomonadati","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Gluconacetobacter",NA
"spp_20",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus",NA
"spp_21",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium",NA
"spp_22",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Weissella",NA
"spp_23",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Oenococcus",NA
"spp_24",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
"spp_25",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Tetragenococcus",NA
"spp_26",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA
"spp_27",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",NA
"spp_28",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus",NA
"spp_29",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Periweissella",NA
"spp_3",16,0.139130434782609,"Bacillati","Bacillota","Bacilli","Bacillales","Bacillaceae","Lentibacillus",NA
"spp_30",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc",NA
"spp_31",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Marinilactobacillus",NA
"spp_32",9,0.0782608695652174,"Bacillati","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Alkalibacterium",NA
"spp_33",9,0.0782608695652174,"Bacillati","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella",NA
"spp_34",1,0.00869565217391304,"Bacillati","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Propionibacterium",NA
"spp_35",7,0.0608695652173913,"Bacillati","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"spp_36",7,0.0608695652173913,"Bacillati","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Kocuria",NA
"spp_4",3,0.0260869565217391,"Bacillati","Actinomycetota","Actinomycetes","Micrococcales","Brevibacteriaceae","Brevibacterium",NA
"spp_5",16,0.139130434782609,"Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia",NA
"spp_6",16,0.139130434782609,"Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA
"spp_7",16,0.139130434782609,"Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",NA
"spp_8",16,0.139130434782609,"Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kosakonia",NA
"spp_9",101,0.878260869565217,"Bacillati","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
